Object Name,Time,PosX,PosY,PosZ,,,
RSC,557.0787,-1.998915,1.173025,-0.2643983,,,
RSC,557.0893,-1.998842,1.173027,-0.2644818,,,
RSC,557.0967,-1.998784,1.173001,-0.2645755,,,
RSC,557.1038,-1.99864,1.173076,-0.2646353,,,
RSC,557.1115,-1.998609,1.173026,-0.2647093,,,
RSC,557.1173,-1.998596,1.173021,-0.264811,,,
RSC,557.1248,-1.998556,1.172987,-0.2648618,,,
RSC,557.1312,-1.998531,1.172972,-0.2649314,,,
RSC,557.1381,-1.998573,1.173033,-0.2649201,,,
RSC,557.1455,-1.998565,1.173055,-0.2649927,,,
RSC,557.1517,-1.998514,1.173046,-0.2650351,,,
RSC,557.1589,-1.998481,1.172975,-0.2650867,,,
RSC,557.166,-1.998456,1.172965,-0.2650715,,,
RSC,557.1734,-1.998424,1.172957,-0.2651111,,,
RSC,557.1799,-1.998436,1.172951,-0.265166,,,
RSC,557.1867,-1.998437,1.172935,-0.265181,,,
RSC,557.1944,-1.998502,1.172917,-0.2651706,,,
RSC,557.2004,-1.998519,1.172903,-0.2651803,,,
RSC,557.2078,-1.998526,1.172895,-0.2652296,,,
RSC,557.2147,-1.998515,1.17283,-0.2652488,,,
RSC,557.2213,-1.998556,1.172829,-0.2652527,,,
RSC,557.2288,-1.998563,1.17281,-0.2652799,,,
RSC,557.2364,-1.99857,1.172855,-0.2652583,,,
RSC,557.2432,-1.998581,1.172842,-0.2653217,,,
RSC,557.2493,-1.998575,1.172839,-0.265326,,,
RSC,557.2563,-1.998517,1.172808,-0.2653291,,,
RSC,557.2634,-1.998478,1.172763,-0.2653306,,,
RSC,557.2703,-1.998494,1.172752,-0.2653443,,,
RSC,557.2773,-1.998478,1.172729,-0.2652979,,,
RSC,557.285,-1.99847,1.172681,-0.265278,,,
RSC,557.2906,-1.99847,1.172682,-0.2652398,,,
RSC,557.2979,-1.998513,1.172656,-0.2651843,,,
RSC,557.3121,-1.99851,1.172647,-0.265173,,,
RSC,557.3188,-1.99853,1.172641,-0.2651247,,,
RSC,557.3259,-1.998542,1.172565,-0.2650992,,,
RSC,557.3329,-1.998525,1.172522,-0.2650358,,,
RSC,557.3393,-1.998572,1.172595,-0.264909,,,
RSC,557.347,-1.998567,1.172584,-0.264893,,,
RSC,557.3533,-1.998535,1.172579,-0.2648823,,,
RSC,557.3602,-1.998536,1.172587,-0.2648202,,,
RSC,557.3676,-1.998542,1.172598,-0.2648138,,,
RSC,557.3743,-1.998582,1.172579,-0.2647592,,,
RSC,557.3813,-1.998587,1.172605,-0.2646967,,,
RSC,557.3879,-1.998592,1.172632,-0.2646571,,,
RSC,557.3953,-1.998633,1.172639,-0.2645809,,,
RSC,557.402,-1.998696,1.17272,-0.2645096,,,
RSC,557.4095,-1.998699,1.172767,-0.2643914,,,
RSC,557.4164,-1.998711,1.172795,-0.2643645,,,
RSC,557.4226,-1.998738,1.17283,-0.2643059,,,
RSC,557.4299,-1.998729,1.172822,-0.2642424,,,
RSC,557.4366,-1.998737,1.172875,-0.26411,,,
RSC,557.4443,-1.998724,1.172889,-0.264045,,,
RSC,557.4507,-1.998722,1.172913,-0.2639878,,,
RSC,557.4579,-1.998702,1.172944,-0.2638811,,,
RSC,557.4649,-1.998711,1.172969,-0.2638211,,,
RSC,557.4715,-1.99869,1.172977,-0.26376,,,
RSC,557.4785,-1.998672,1.172973,-0.2637551,,,
RSC,557.4854,-1.998666,1.172984,-0.2637209,,,
RSC,557.4922,-1.998674,1.173019,-0.2636114,,,
RSC,557.4994,-1.998686,1.172983,-0.2635661,,,
RSC,557.5062,-1.998681,1.172994,-0.2635316,,,
RSC,557.5131,-1.998724,1.173046,-0.2634569,,,
RSC,557.5228,-1.998761,1.172976,-0.2634376,,,
RSC,557.5294,-1.998776,1.172976,-0.2633902,,,
RSC,557.5349,-1.998805,1.172982,-0.2633814,,,
RSC,557.5405,-1.998839,1.17301,-0.2632976,,,
RSC,557.548,-1.998857,1.173058,-0.2632458,,,
RSC,557.555,-1.998919,1.173107,-0.2632409,,,
RSC,557.5618,-1.998969,1.173149,-0.2632027,,,
RSC,557.5687,-1.998998,1.173206,-0.2631562,,,
RSC,557.5762,-1.999024,1.173267,-0.2631086,,,
RSC,557.5829,-1.999049,1.1733,-0.263109,,,
RSC,557.5896,-1.999074,1.173326,-0.2631081,,,
RSC,557.5966,-1.99904,1.173316,-0.2630398,,,
RSC,557.6032,-1.999039,1.173331,-0.2630276,,,
RSC,557.6103,-1.99904,1.173371,-0.26296,,,
RSC,557.6174,-1.999043,1.173395,-0.262924,,,
RSC,557.624,-1.999038,1.173399,-0.2628497,,,
RSC,557.6315,-1.999068,1.173451,-0.2627813,,,
RSC,557.6379,-1.999021,1.173475,-0.262733,,,
RSC,557.6452,-1.999035,1.173522,-0.2626575,,,
RSC,557.6525,-1.999053,1.173545,-0.2625957,,,
RSC,557.6592,-1.998987,1.173586,-0.2626292,,,
RSC,557.6658,-1.998999,1.173595,-0.2626403,,,
RSC,557.6731,-1.998943,1.173561,-0.262666,,,
RSC,557.68,-1.998922,1.173577,-0.2626889,,,
RSC,557.6868,-1.998914,1.173585,-0.2627037,,,
RSC,557.6938,-1.998912,1.173539,-0.2627138,,,
RSC,557.7005,-1.998892,1.173555,-0.2627348,,,
RSC,557.7075,-1.998848,1.173556,-0.2627555,,,
RSC,557.7146,-1.998907,1.17357,-0.2627566,,,
RSC,557.7213,-1.998856,1.173531,-0.2627593,,,
RSC,557.7286,-1.998832,1.173534,-0.2627615,,,
RSC,557.7358,-1.998863,1.173505,-0.2628027,,,
RSC,557.7421,-1.998863,1.173502,-0.2627912,,,
RSC,557.749,-1.998848,1.173483,-0.2628059,,,
RSC,557.756,-1.998889,1.173477,-0.2627807,,,
RSC,557.7632,-1.998869,1.173439,-0.2627939,,,
RSC,557.7701,-1.998863,1.173431,-0.2628137,,,
RSC,557.7776,-1.9989,1.173452,-0.2627835,,,
RSC,557.7845,-1.998906,1.173449,-0.2627878,,,
RSC,557.7908,-1.998892,1.173448,-0.2627935,,,
RSC,557.7983,-1.998884,1.173451,-0.2627742,,,
RSC,557.8053,-1.99888,1.17344,-0.2627954,,,
RSC,557.8124,-1.998857,1.173535,-0.2627536,,,
RSC,557.8195,-1.998859,1.173546,-0.2627736,,,
RSC,557.8265,-1.998858,1.17356,-0.2627466,,,
RSC,557.8337,-1.998806,1.173553,-0.2627671,,,
RSC,557.8402,-1.998759,1.173564,-0.2627804,,,
RSC,557.8475,-1.998749,1.173566,-0.2627953,,,
RSC,557.8542,-1.998724,1.173533,-0.2628171,,,
RSC,557.8614,-1.998683,1.173516,-0.2628359,,,
RSC,557.8684,-1.998679,1.173509,-0.2628368,,,
RSC,557.8755,-1.998715,1.173501,-0.2627973,,,
RSC,557.8824,-1.998715,1.173514,-0.2627807,,,
RSC,557.8895,-1.998729,1.173532,-0.26275,,,
RSC,557.8962,-1.998741,1.17351,-0.2627194,,,
RSC,557.9027,-1.998762,1.173552,-0.2627033,,,
RSC,557.9102,-1.998764,1.173555,-0.2626684,,,
RSC,557.9171,-1.998794,1.173587,-0.2626595,,,
RSC,557.9238,-1.998798,1.173616,-0.2626546,,,
RSC,557.9306,-1.998795,1.173622,-0.2626544,,,
RSC,557.9376,-1.998835,1.173642,-0.262709,,,
RSC,557.945,-1.998842,1.173667,-0.2627133,,,
RSC,557.9512,-1.998795,1.173658,-0.2627197,,,
RSC,557.9586,-1.99881,1.173593,-0.2627214,,,
RSC,557.9658,-1.998831,1.173671,-0.2626948,,,
RSC,557.9725,-1.998808,1.173637,-0.2626699,,,
RSC,557.9797,-1.998847,1.173575,-0.2626326,,,
RSC,557.9867,-1.99888,1.173614,-0.2626039,,,
RSC,557.9931,-1.998874,1.173639,-0.2625622,,,
RSC,558.0001,-1.998913,1.173655,-0.2625196,,,
RSC,558.0071,-1.998936,1.17364,-0.2624748,,,
RSC,558.0141,-1.998932,1.173652,-0.2623323,,,
RSC,558.0209,-1.998944,1.173647,-0.2622753,,,
RSC,558.0281,-1.998973,1.17364,-0.2622088,,,
RSC,558.035,-1.998967,1.173735,-0.2620918,,,
RSC,558.0418,-1.998966,1.173734,-0.2620612,,,
RSC,558.049,-1.998979,1.173724,-0.2620158,,,
RSC,558.056,-1.998956,1.173761,-0.2619274,,,
RSC,558.0629,-1.998937,1.173742,-0.2618818,,,
RSC,558.0697,-1.998942,1.173699,-0.2618648,,,
RSC,558.0768,-1.999006,1.173757,-0.2617584,,,
RSC,558.0847,-1.999029,1.173785,-0.2616923,,,
RSC,558.0904,-1.999034,1.173783,-0.2616615,,,
RSC,558.098,-1.999034,1.173764,-0.2616276,,,
RSC,558.1044,-1.999036,1.173789,-0.2615922,,,
RSC,558.111,-1.999024,1.173842,-0.2614917,,,
RSC,558.1185,-1.99902,1.173812,-0.2614838,,,
RSC,558.1256,-1.999012,1.173798,-0.2614371,,,
RSC,558.1321,-1.998977,1.173797,-0.2613752,,,
RSC,558.1389,-1.998971,1.173853,-0.261287,,,
RSC,558.1463,-1.998949,1.173872,-0.2612261,,,
RSC,558.1528,-1.998952,1.173873,-0.2611494,,,
RSC,558.1605,-1.998927,1.173878,-0.2610591,,,
RSC,558.1669,-1.998922,1.173919,-0.260985,,,
RSC,558.1735,-1.99889,1.173981,-0.2609107,,,
RSC,558.1809,-1.998832,1.173973,-0.2608692,,,
RSC,558.1875,-1.998792,1.17402,-0.260772,,,
RSC,558.1952,-1.998765,1.174068,-0.2606033,,,
RSC,558.2016,-1.99872,1.174075,-0.260564,,,
RSC,558.2085,-1.998688,1.17407,-0.2604871,,,
RSC,558.2158,-1.998613,1.174114,-0.2604122,,,
RSC,558.2224,-1.99857,1.174138,-0.2603512,,,
RSC,558.2293,-1.998529,1.174159,-0.2603007,,,
RSC,558.2362,-1.99845,1.174256,-0.2601868,,,
RSC,558.244,-1.998401,1.174295,-0.2601356,,,
RSC,558.2501,-1.998361,1.174309,-0.2601143,,,
RSC,558.257,-1.998327,1.174367,-0.2600097,,,
RSC,558.2645,-1.998291,1.174405,-0.2599708,,,
RSC,558.2709,-1.99827,1.174419,-0.2600183,,,
RSC,558.278,-1.998292,1.174422,-0.2599605,,,
RSC,558.2855,-1.998282,1.17447,-0.2599186,,,
RSC,558.2916,-1.998284,1.174511,-0.2598853,,,
RSC,558.2987,-1.998256,1.174534,-0.2598464,,,
RSC,558.306,-1.998272,1.174579,-0.259833,,,
RSC,558.3126,-1.998236,1.174595,-0.2597932,,,
RSC,558.3195,-1.998248,1.174611,-0.2597482,,,
RSC,558.3265,-1.998237,1.174665,-0.2597216,,,
RSC,558.334,-1.998215,1.1747,-0.2596708,,,
RSC,558.3401,-1.998198,1.174723,-0.2596605,,,
RSC,558.3478,-1.99818,1.174774,-0.2596992,,,
RSC,558.3546,-1.998145,1.174771,-0.2597536,,,
RSC,558.3616,-1.998108,1.1748,-0.2598073,,,
RSC,558.3681,-1.998082,1.174802,-0.2598656,,,
RSC,558.3754,-1.998065,1.174812,-0.2598755,,,
RSC,558.3823,-1.998019,1.174812,-0.2598966,,,
RSC,558.3887,-1.997975,1.174811,-0.2599578,,,
RSC,558.3965,-1.997905,1.174857,-0.2599937,,,
RSC,558.4031,-1.997837,1.174885,-0.2600128,,,
RSC,558.4099,-1.997811,1.174913,-0.2600533,,,
RSC,558.4171,-1.99779,1.17495,-0.2599778,,,
RSC,558.4239,-1.997752,1.17498,-0.2600194,,,
RSC,558.4305,-1.997721,1.175001,-0.2600531,,,
RSC,558.4376,-1.997711,1.175051,-0.2600639,,,
RSC,558.4452,-1.997722,1.175075,-0.26008,,,
RSC,558.4516,-1.99771,1.175135,-0.2601042,,,
RSC,558.4586,-1.997677,1.175164,-0.2601466,,,
RSC,558.4656,-1.997633,1.175127,-0.2602474,,,
RSC,558.4725,-1.997629,1.175087,-0.260313,,,
RSC,558.4796,-1.997608,1.175089,-0.2603458,,,
RSC,558.4863,-1.997555,1.175091,-0.2603973,,,
RSC,558.4932,-1.997514,1.175103,-0.2605137,,,
RSC,558.5001,-1.997517,1.175089,-0.2605496,,,
RSC,558.507,-1.997509,1.175118,-0.2605695,,,
RSC,558.5142,-1.997497,1.175091,-0.2606236,,,
RSC,558.5208,-1.997443,1.175099,-0.2606749,,,
RSC,558.5283,-1.997424,1.175101,-0.260765,,,
RSC,558.5352,-1.997393,1.175045,-0.2608617,,,
RSC,558.5417,-1.997388,1.175079,-0.2608793,,,
RSC,558.5488,-1.997371,1.175096,-0.2609619,,,
RSC,558.5555,-1.997358,1.175065,-0.261032,,,
RSC,558.5631,-1.997371,1.175087,-0.261067,,,
RSC,558.5696,-1.997358,1.175094,-0.2611022,,,
RSC,558.5767,-1.99733,1.175144,-0.2611448,,,
RSC,558.5839,-1.997303,1.175146,-0.2611989,,,
RSC,558.5902,-1.997314,1.175162,-0.2612159,,,
RSC,558.5977,-1.997288,1.175156,-0.2612358,,,
RSC,558.6043,-1.997263,1.175135,-0.2612982,,,
RSC,558.6113,-1.99727,1.17513,-0.2612983,,,
RSC,558.6183,-1.997273,1.175136,-0.2613993,,,
RSC,558.6254,-1.997258,1.175099,-0.2614492,,,
RSC,558.6324,-1.997216,1.175066,-0.2615076,,,
RSC,558.6389,-1.997191,1.17503,-0.2615836,,,
RSC,558.6465,-1.997154,1.175017,-0.261591,,,
RSC,558.6529,-1.997135,1.174929,-0.2616259,,,
RSC,558.6601,-1.997144,1.17495,-0.2616432,,,
RSC,558.6667,-1.997132,1.17494,-0.2616314,,,
RSC,558.6738,-1.997148,1.174947,-0.2616917,,,
RSC,558.6806,-1.997149,1.17495,-0.2616915,,,
RSC,558.6875,-1.997169,1.174949,-0.2617363,,,
RSC,558.6949,-1.997198,1.174987,-0.2617813,,,
RSC,558.7017,-1.997185,1.174986,-0.2617829,,,
RSC,558.7083,-1.99717,1.175025,-0.2618337,,,
RSC,558.7155,-1.997168,1.174988,-0.2618513,,,
RSC,558.7224,-1.997191,1.175009,-0.2618763,,,
RSC,558.7292,-1.997192,1.175013,-0.2618437,,,
RSC,558.7366,-1.997173,1.175029,-0.261838,,,
RSC,558.7433,-1.997184,1.175031,-0.261782,,,
RSC,558.7499,-1.997216,1.175038,-0.2617074,,,
RSC,558.7574,-1.99721,1.175073,-0.2616825,,,
RSC,558.764,-1.997215,1.175066,-0.2616609,,,
RSC,558.7708,-1.99731,1.175104,-0.2616749,,,
RSC,558.7781,-1.99733,1.175122,-0.2616658,,,
RSC,558.7852,-1.997297,1.175081,-0.2616754,,,
RSC,558.7914,-1.997332,1.175102,-0.2616885,,,
RSC,558.799,-1.997376,1.175135,-0.2616563,,,
RSC,558.8061,-1.997366,1.175122,-0.2616241,,,
RSC,558.8132,-1.997346,1.175071,-0.2615503,,,
RSC,558.8196,-1.997366,1.175099,-0.2615091,,,
RSC,558.8267,-1.997369,1.1751,-0.2614394,,,
RSC,558.8337,-1.997411,1.175075,-0.2613931,,,
RSC,558.8405,-1.997422,1.175086,-0.261373,,,
RSC,558.8474,-1.997436,1.175104,-0.2613288,,,
RSC,558.8541,-1.997492,1.175127,-0.2613319,,,
RSC,558.861,-1.997506,1.175129,-0.2613213,,,
RSC,558.8683,-1.997537,1.175159,-0.2612729,,,
RSC,558.8757,-1.997545,1.175214,-0.2612689,,,
RSC,558.8828,-1.997541,1.175238,-0.2612615,,,
RSC,558.8888,-1.997529,1.175214,-0.2612879,,,
RSC,558.8961,-1.997497,1.175225,-0.2612213,,,
RSC,558.9028,-1.997529,1.175306,-0.2611369,,,
RSC,558.9099,-1.997545,1.175315,-0.2611219,,,
RSC,558.9171,-1.997548,1.17527,-0.261069,,,
RSC,558.924,-1.997565,1.175284,-0.2610391,,,
RSC,558.931,-1.997571,1.175279,-0.2610384,,,
RSC,558.9379,-1.997572,1.175268,-0.2609853,,,
RSC,558.9449,-1.997566,1.175258,-0.2609832,,,
RSC,558.9513,-1.997602,1.175218,-0.2609721,,,
RSC,558.9589,-1.997615,1.175214,-0.2609466,,,
RSC,558.9655,-1.997658,1.175228,-0.2609278,,,
RSC,558.9721,-1.997653,1.175265,-0.260937,,,
RSC,558.9857,-1.997675,1.175315,-0.2609336,,,
RSC,558.9923,-1.997709,1.1753,-0.2609155,,,
RSC,558.9991,-1.997733,1.175276,-0.2609316,,,
RSC,559.0063,-1.997746,1.175292,-0.2609036,,,
RSC,559.0135,-1.997815,1.175339,-0.260938,,,
RSC,559.0199,-1.997832,1.175348,-0.260942,,,
RSC,559.0273,-1.997817,1.175303,-0.2609647,,,
RSC,559.0343,-1.997817,1.175278,-0.2609301,,,
RSC,559.0409,-1.997852,1.175278,-0.2609211,,,
RSC,559.0479,-1.99785,1.175265,-0.2609463,,,
RSC,559.055,-1.997871,1.175232,-0.2609576,,,
RSC,559.062,-1.997902,1.175246,-0.2609423,,,
RSC,559.0687,-1.997931,1.175272,-0.2608925,,,
RSC,559.076,-1.997961,1.175262,-0.260949,,,
RSC,559.0837,-1.997954,1.175226,-0.2609688,,,
RSC,559.09,-1.997976,1.175247,-0.2609733,,,
RSC,559.0975,-1.997968,1.175228,-0.2610011,,,
RSC,559.1039,-1.99798,1.175215,-0.2610523,,,
RSC,559.1106,-1.997994,1.175215,-0.2610567,,,
RSC,559.1177,-1.997939,1.175244,-0.2610796,,,
RSC,559.1248,-1.997914,1.175259,-0.2611302,,,
RSC,559.1313,-1.99789,1.175226,-0.2611542,,,
RSC,559.1382,-1.997885,1.175215,-0.2611899,,,
RSC,559.1451,-1.997842,1.175187,-0.2612578,,,
RSC,559.152,-1.997814,1.175109,-0.2612849,,,
RSC,559.1592,-1.997798,1.175102,-0.2613183,,,
RSC,559.1662,-1.997831,1.175141,-0.2612614,,,
RSC,559.1728,-1.99786,1.175144,-0.2612954,,,
RSC,559.18,-1.997852,1.175144,-0.2612778,,,
RSC,559.1866,-1.997874,1.175129,-0.2612877,,,
RSC,559.1945,-1.997917,1.175138,-0.2613271,,,
RSC,559.2006,-1.997931,1.175153,-0.2612764,,,
RSC,559.2078,-1.997931,1.175138,-0.2612753,,,
RSC,559.2146,-1.997961,1.17515,-0.2612257,,,
RSC,559.2216,-1.997971,1.175179,-0.2612254,,,
RSC,559.2285,-1.997953,1.17515,-0.2612808,,,
RSC,559.2354,-1.997923,1.175147,-0.2612932,,,
RSC,559.242,-1.997909,1.175152,-0.2613646,,,
RSC,559.2491,-1.99787,1.175147,-0.2613968,,,
RSC,559.2561,-1.997804,1.175119,-0.2614613,,,
RSC,559.2637,-1.997787,1.175118,-0.2615057,,,
RSC,559.2697,-1.997752,1.175104,-0.2615532,,,
RSC,559.2778,-1.997717,1.175069,-0.2616064,,,
RSC,559.2847,-1.997684,1.175023,-0.2616459,,,
RSC,559.2905,-1.997638,1.175012,-0.2616344,,,
RSC,559.2979,-1.997549,1.174967,-0.2616888,,,
RSC,559.3046,-1.997533,1.174892,-0.2617112,,,
RSC,559.3118,-1.997512,1.174896,-0.2616841,,,
RSC,559.319,-1.997487,1.174859,-0.2616826,,,
RSC,559.3263,-1.997504,1.174878,-0.2616476,,,
RSC,559.3336,-1.99752,1.174891,-0.2616159,,,
RSC,559.3398,-1.997521,1.17488,-0.2615684,,,
RSC,559.3473,-1.997552,1.174856,-0.2615603,,,
RSC,559.3542,-1.997616,1.174861,-0.2616301,,,
RSC,559.3612,-1.997623,1.174846,-0.2616333,,,
RSC,559.3686,-1.997652,1.174868,-0.2616094,,,
RSC,559.3754,-1.997713,1.174941,-0.2616439,,,
RSC,559.382,-1.997691,1.174898,-0.2616951,,,
RSC,559.3891,-1.997685,1.174883,-0.2616974,,,
RSC,559.3962,-1.997698,1.17489,-0.2617009,,,
RSC,559.4034,-1.997688,1.174893,-0.2617075,,,
RSC,559.4105,-1.997653,1.174873,-0.2617284,,,
RSC,559.4174,-1.997666,1.174856,-0.2617109,,,
RSC,559.4238,-1.997649,1.174824,-0.2617309,,,
RSC,559.4308,-1.99763,1.174849,-0.2617599,,,
RSC,559.4377,-1.997618,1.174836,-0.2617552,,,
RSC,559.4449,-1.99758,1.174828,-0.2617719,,,
RSC,559.4514,-1.997559,1.174846,-0.2617639,,,
RSC,559.4585,-1.997564,1.174858,-0.2617345,,,
RSC,559.4657,-1.997556,1.1749,-0.2617418,,,
RSC,559.4723,-1.997565,1.174925,-0.2617128,,,
RSC,559.4791,-1.997575,1.174926,-0.2617441,,,
RSC,559.4867,-1.997605,1.174957,-0.2617229,,,
RSC,559.4934,-1.997629,1.174992,-0.2617217,,,
RSC,559.4999,-1.99763,1.175008,-0.2617082,,,
RSC,559.5073,-1.997638,1.174994,-0.2617556,,,
RSC,559.5141,-1.997671,1.174994,-0.2617276,,,
RSC,559.5208,-1.997679,1.174999,-0.2617347,,,
RSC,559.5286,-1.997676,1.17503,-0.2617096,,,
RSC,559.5354,-1.997673,1.175013,-0.2617214,,,
RSC,559.5416,-1.997643,1.174998,-0.261731,,,
RSC,559.5486,-1.997653,1.175011,-0.2617311,,,
RSC,559.5558,-1.997622,1.174993,-0.2616898,,,
RSC,559.5629,-1.997623,1.175011,-0.2616799,,,
RSC,559.5698,-1.997656,1.175044,-0.261727,,,
RSC,559.5765,-1.997659,1.17501,-0.2617093,,,
RSC,559.584,-1.997709,1.17503,-0.2616735,,,
RSC,559.5907,-1.997778,1.175025,-0.2617013,,,
RSC,559.5973,-1.997796,1.175033,-0.2617366,,,
RSC,559.6044,-1.997815,1.175053,-0.2616795,,,
RSC,559.611,-1.99783,1.175068,-0.2616875,,,
RSC,559.6184,-1.99785,1.175072,-0.261676,,,
RSC,559.6249,-1.997877,1.175071,-0.2616728,,,
RSC,559.6324,-1.99785,1.175007,-0.2615986,,,
RSC,559.6389,-1.997829,1.175011,-0.2616054,,,
RSC,559.6461,-1.99785,1.174993,-0.2616249,,,
RSC,559.653,-1.997839,1.175032,-0.261646,,,
RSC,559.6597,-1.997857,1.175039,-0.2616444,,,
RSC,559.6672,-1.997854,1.175023,-0.2616655,,,
RSC,559.6737,-1.997841,1.175015,-0.2616811,,,
RSC,559.6807,-1.997841,1.174991,-0.2616698,,,
RSC,559.6876,-1.997879,1.175039,-0.2616346,,,
RSC,559.695,-1.997915,1.17506,-0.2616391,,,
RSC,559.7016,-1.997917,1.174978,-0.2616717,,,
RSC,559.7087,-1.997943,1.174996,-0.2616268,,,
RSC,559.7155,-1.997962,1.174978,-0.2616174,,,
RSC,559.723,-1.997977,1.174981,-0.2615771,,,
RSC,559.7293,-1.997995,1.174983,-0.261529,,,
RSC,559.7361,-1.997988,1.174972,-0.2615027,,,
RSC,559.7436,-1.997969,1.174962,-0.2614964,,,
RSC,559.75,-1.997934,1.174992,-0.2615186,,,
RSC,559.7574,-1.997901,1.174976,-0.2615623,,,
RSC,559.7642,-1.997878,1.174997,-0.2615571,,,
RSC,559.7708,-1.997847,1.175004,-0.2615566,,,
RSC,559.7786,-1.997836,1.175006,-0.2615742,,,
RSC,559.7853,-1.997829,1.174999,-0.2615489,,,
RSC,559.7916,-1.997806,1.174979,-0.2615179,,,
RSC,559.7988,-1.997805,1.174978,-0.261468,,,
RSC,559.8058,-1.997803,1.174974,-0.2614294,,,
RSC,559.8126,-1.997815,1.174916,-0.2613815,,,
RSC,559.8193,-1.997819,1.174877,-0.2613512,,,
RSC,559.827,-1.997819,1.174871,-0.2613187,,,
RSC,559.8336,-1.997838,1.174936,-0.2612817,,,
RSC,559.8402,-1.99787,1.174974,-0.2612576,,,
RSC,559.8476,-1.99787,1.174966,-0.2612378,,,
RSC,559.8541,-1.997864,1.17496,-0.261234,,,
RSC,559.8616,-1.997854,1.17491,-0.2612686,,,
RSC,559.868,-1.997856,1.174925,-0.2612007,,,
RSC,559.8755,-1.997856,1.174984,-0.2611884,,,
RSC,559.8821,-1.997827,1.174958,-0.2611716,,,
RSC,559.889,-1.997838,1.174992,-0.2611398,,,
RSC,559.8963,-1.997825,1.174962,-0.26105,,,
RSC,559.9028,-1.997774,1.174999,-0.2610215,,,
RSC,559.9102,-1.997765,1.174987,-0.260987,,,
RSC,559.9167,-1.997736,1.174981,-0.2609503,,,
RSC,559.9237,-1.99773,1.174963,-0.2609498,,,
RSC,559.9306,-1.997739,1.174969,-0.2609133,,,
RSC,559.9374,-1.997727,1.174982,-0.2608998,,,
RSC,559.9454,-1.99772,1.175045,-0.2608475,,,
RSC,559.9515,-1.997734,1.17503,-0.2608742,,,
RSC,559.9586,-1.997722,1.175063,-0.2608172,,,
RSC,559.9654,-1.99769,1.175052,-0.260806,,,
RSC,559.9728,-1.997663,1.175065,-0.2607824,,,
RSC,559.9796,-1.997621,1.175084,-0.2607574,,,
RSC,559.9865,-1.997587,1.175084,-0.2607297,,,
RSC,559.9938,-1.99754,1.175085,-0.2606393,,,
RSC,559.9999,-1.997526,1.175117,-0.2605755,,,
RSC,560.007,-1.997506,1.17513,-0.2604992,,,
RSC,560.0142,-1.997503,1.175146,-0.2603958,,,
RSC,560.0207,-1.997522,1.17519,-0.2603284,,,
RSC,560.0286,-1.997519,1.175208,-0.2602647,,,
RSC,560.0353,-1.997499,1.175247,-0.2602311,,,
RSC,560.0415,-1.997492,1.175291,-0.2601774,,,
RSC,560.0491,-1.997453,1.175294,-0.2601893,,,
RSC,560.0555,-1.997467,1.175361,-0.2601848,,,
RSC,560.0627,-1.997445,1.175377,-0.2601714,,,
RSC,560.0693,-1.997399,1.175392,-0.260206,,,
RSC,560.0765,-1.99738,1.175399,-0.2601956,,,
RSC,560.0842,-1.997384,1.175373,-0.2602212,,,
RSC,560.0902,-1.997359,1.175393,-0.2602029,,,
RSC,560.0978,-1.997321,1.175375,-0.2601972,,,
RSC,560.1044,-1.997297,1.175351,-0.2602144,,,
RSC,560.1111,-1.997315,1.1753,-0.260179,,,
RSC,560.1183,-1.997305,1.175274,-0.2602097,,,
RSC,560.1255,-1.997296,1.175274,-0.2601686,,,
RSC,560.1324,-1.997299,1.175268,-0.2601592,,,
RSC,560.1389,-1.997324,1.175262,-0.2601609,,,
RSC,560.1465,-1.997327,1.17527,-0.2601736,,,
RSC,560.1529,-1.997253,1.175328,-0.2601731,,,
RSC,560.1599,-1.997278,1.175312,-0.2601515,,,
RSC,560.1668,-1.997292,1.175325,-0.2601507,,,
RSC,560.1735,-1.997327,1.175382,-0.2601314,,,
RSC,560.1813,-1.997316,1.175318,-0.260171,,,
RSC,560.1877,-1.997341,1.175339,-0.2601627,,,
RSC,560.195,-1.997375,1.175346,-0.2601869,,,
RSC,560.2012,-1.997364,1.175364,-0.2602088,,,
RSC,560.2089,-1.997364,1.175372,-0.2602264,,,
RSC,560.2153,-1.997333,1.175356,-0.260283,,,
RSC,560.2227,-1.997301,1.175388,-0.2603011,,,
RSC,560.2292,-1.997259,1.175362,-0.2603227,,,
RSC,560.2361,-1.997234,1.175383,-0.2603615,,,
RSC,560.2435,-1.997208,1.175393,-0.2603692,,,
RSC,560.2501,-1.9972,1.17539,-0.2603304,,,
RSC,560.257,-1.997182,1.175382,-0.2603472,,,
RSC,560.2641,-1.997158,1.175328,-0.2603602,,,
RSC,560.2706,-1.997208,1.175325,-0.2603517,,,
RSC,560.2781,-1.997218,1.175332,-0.2603347,,,
RSC,560.285,-1.997203,1.175342,-0.2603385,,,
RSC,560.2916,-1.997222,1.175307,-0.2603729,,,
RSC,560.299,-1.99723,1.175314,-0.2604445,,,
RSC,560.3058,-1.997213,1.175312,-0.2604539,,,
RSC,560.3126,-1.997249,1.175318,-0.2605382,,,
RSC,560.3196,-1.997249,1.175332,-0.2605161,,,
RSC,560.3264,-1.997242,1.175346,-0.2605607,,,
RSC,560.334,-1.99722,1.175355,-0.2605814,,,
RSC,560.3405,-1.997176,1.175325,-0.2605956,,,
RSC,560.3479,-1.997151,1.17533,-0.2606217,,,
